category,source,year,title,why_it_matters,design_implication
regime-aware allocation,arXiv/SSRN,2024,Dynamic Asset Allocation with Asset-Specific Regime Forecasts,"Shows that regime information should be asset-specific, not only market-wide; combines regime forecasting with mean-variance allocation over 1991-2023 multi-asset data.",Add asset-specific regime labels/features and test them inside the optimizer rather than only as one global regime flag.
regime-switching robustness,Journal of Asset Management,2024,Downside Risk Reduction Using Regime-Switching Signals: A Statistical Jump Model Approach,"Emphasizes online regime selection, trading delays, transaction costs, and downside-risk control.","Use walk-forward regime inference and report downside metrics, not just returns and Sharpe."
large-universe end-to-end construction,arXiv,2024,DSPO: An End-to-End Framework for Direct Sorted Portfolio Construction,Studies thousands of tradable stocks and avoids small curated universes.,"Scale from curated baskets toward large, reconstituted universes and separate small-basket evidence from broad-universe evidence."
stock selection over large equity universe,Research in International Business and Finance,2024,S&P 500 Stock Selection Using Machine Learning Classifiers: A Look Into the Changing Role of Factors,Shows feature importance changes over time and that frequent retraining matters.,Track time-varying factor/feature importance and refresh screening models on a rolling basis.
two-stage stock selection + optimization,Expert Systems with Applications,2025,A Meta-Analysis of Supervised and Unsupervised Machine Learning Algorithms and Their Application to Active Portfolio Management,"Uses a two-stage pipeline: stock selection first, optimization second, with market-phase comparisons.","Split the project into explicit screening and weighting layers; compare across pre-stress, stress, and post-stress windows."
contextual bandit allocation,Finance Research Letters,2024,Portfolio Optimization by Enhanced LinUCB,Illustrates context-aware controller selection in changing market conditions across multiple markets.,Prototype a contextual bandit meta-controller that selects controller families based on universe/regime descriptors.
hierarchical RL,arXiv,2024,Hierarchical Reinforced Trader: A Bi-Level Approach for Optimizing Stock Selection and Execution,Uses a high-level stock selector and low-level execution controller.,"If RL is used, use it hierarchically: high-level selection/routing first, direct low-level allocation only if justified."
RL survey / standards,arXiv,2024,A Review of Reinforcement Learning in Financial Applications,"Highlights benchmarking problems, robustness issues, contextual RL, multi-agent RL, model-based RL, offline RL, and risk-sensitive RL.","Treat RL as one component in a rigorous benchmark stack with explicit baselines, frictions, and ablations."
reproducible large-universe signals,Open Source Asset Pricing,2022-ongoing,Open Source Cross-Sectional Asset Pricing,Provides broad stock-level predictor constructions and a reproducibility benchmark for large-universe studies.,Use open replicated characteristics or their logic to define richer stock-level universes and screening layers.
implementable frontier discipline,SSRN,2022+,Machine Learning and the Implementable Efficient Frontier,Pushes evaluation toward net-of-cost implementability rather than only forecast accuracy.,"Make cost-aware efficient-frontier comparisons central to the next study, not an appendix."
negative-result discipline,SSRN,2023+,The Term Structure of Machine Learning Alpha,Shows that some ML alpha disappears after costs or at short horizons.,Add explicit negative-result and cost-sensitivity sections to avoid overstating complex methods.
